%
% Comments go after a '%' sign.
%
%
% Relation: Features
%
%
% Attributes: 13     Instances: 1500
%
%

@relation Features

@attribute 'ID' numeric
@attribute 'Bored' numeric
@attribute 'Angry' numeric
@attribute 'Sad' numeric
@attribute 'Fear' numeric
@attribute 'Excited' numeric
@attribute 'Happy' numeric
@attribute 'Negative' numeric
@attribute 'Neutral' numeric
@attribute 'Positive' numeric
@attribute 'Sarcasm' numeric
@attribute 'Abuse' numeric
@attribute 'Class' {0,1}


@data
1,0.191215747,0.33035439,0.197735714,0.160128465,0.073397194,0.04716849,0.83,0.149,0.021,0.63149481,0.011138444,0
2,0,0.770339421,0.097299704,0.049029369,0.041845592,0.041485914,0.943,0.049,0.008,0.399768317,0.999904275,1
3,0.040597932,0.082902188,0.222287224,0.382833107,0.126017566,0.145361984,0.18,0.639,0.181,0.636646911,0.005781898,1
4,0.099158942,0.21212546,0.274276885,0.123326102,0.141654168,0.149458442,0.822,0.154,0.024,0.431438041,0.012093777,1
5,0.039798969,0.256015157,0.078746433,0.064073141,0.108493958,0.452872343,0.608,0.253,0.139,0.259831327,0.997255266,0
6,0.313262437,0.211192613,0.161301811,0.173186728,0.100942124,0.040114287,0.676,0.262,0.063,0.611847799,0.000046100,0
7,0.420268653,0.152233233,0.074768439,0.099576285,0.138128732,0.115024659,0.416,0.312,0.273,0.50190038,0.000662029,1
8,0.047800102,0.642166577,0.138191018,0.082964189,0.060937914,0.027940199,0.977,0.018,0.005,0.457268571,0.001076563,0
9,0.107203138,0.308390936,0.215968712,0.177768999,0.109692375,0.080975839,0.493,0.408,0.099,0.637763287,0.003114562,1
10,0.24234497,0.248284571,0.178075735,0.212518106,0.075389804,0.043386815,0.743,0.229,0.028,0.600768148,0.907463372,0
11,0.075562845,0.222007269,0.171631605,0.186441498,0.158426633,0.185930151,0.388,0.352,0.26,0.410285881,0.000024800,1
12,0.027890595,0.221637561,0.11046086,0.164976549,0.209318945,0.265715491,0.148,0.405,0.447,0.304139269,0.000018400,0
13,0.165301221,0.149469631,0.163397297,0.26229839,0.138218663,0.121314798,0.523,0.376,0.101,0.571210492,0.000028200,0
14,0.038662651,0.582462189,0.167218491,0.128558832,0.05363637,0.029461468,0.794,0.167,0.039,0.513625048,0.000031500,0
15,0.121135274,0.366072175,0.2528488,0.163035344,0.05996444,0.036943966,0.826,0.133,0.042,0.679696925,0.000017600,0
16,0.065757213,0.163195407,0.062400589,0.193677746,0.248273518,0.266695528,0.142,0.277,0.581,0.303415911,0.000018900,1
17,0.089466454,0.355127685,0.224701454,0.176296937,0.07531814,0.07908933,0.941,0.05,0.009,0.592156084,0.000985818,0
18,0.313262437,0.211192613,0.161301811,0.173186728,0.100942124,0.040114287,0.676,0.262,0.063,0.611847799,0.000046100,0
19,0.047941373,0.107679533,0.326027341,0.439328537,0.063729773,0.015293444,0.403,0.485,0.111,0.539020348,0.000038200,0
20,0.084052938,0.154246903,0.108900644,0.173870939,0.254981036,0.223947541,0.186,0.444,0.371,0.398334629,0.000577952,0
21,0.100106199,0.229227566,0.13951618,0.175012688,0.150990061,0.205147306,0.423,0.407,0.17,0.606839714,0.000026200,0
22,0.176852742,0.110917039,0.133517381,0.299900621,0.164701051,0.114111166,0.257,0.658,0.086,0.641262578,0.000050200,0
23,0.049120752,0.099904161,0.117318628,0.222877563,0.270308737,0.24047016,0.134,0.48,0.385,0.362124839,0.000034700,0
24,0.026847857,0.210740643,0.038265824,0.047634868,0.450200085,0.226310724,0.189,0.337,0.474,0.259804013,0.000054400,0
25,0.118085951,0.185457783,0.126160537,0.09634863,0.123440309,0.350506791,0.708,0.145,0.147,0.404089666,0.999285400,0
